ID,Título,Criado em,Fase Atual,Etiquetas,Placa do Carro-Template,Litros Usados,Tipo Combustivel,Cliente,Ordem de Serviço,Fornecedor Final,Número Nota,Valor da Nota Fiscal,Recibo/Nota fiscal Fornecedor,Valor cobrado do cliente,Id requisição,Forncedor Final,Valor da Requisição,Número Nota Fiscal,Recibo/Nota Fiscal do Fornecedor,UTILIZADO PARA MANUTENÇÃO DE ALGO DA OFICINA,Observação (Opcional),SOLICITANTE,RESPONSÁVEL PELO CARRO,Veiculos,Hodometro,VALOR DA NOTA,Nº DA NOTA,FORNECEDOR,AUTORIZADO POR,Tipo de requisição,Tipo Veicular,Categoria
1282947915,BLOCO DE NOTAS,16/01/2026,Despesa- Concluida,Consumo Oficina,,,,,,,,,,,1282947915,GS papelaria,"20,71",42954,https://app.pipefy.com/storage/v1/signed/uploads/d6c860a7-fb5f-495a-8f4f-c2b7e8a6e124/7d524547.ReqFotoNota.180844.jpg?expires_on=1772801601&signature=pnyWD6KQp9YWJ1IE738zcanpasFJPHkzGvCcAXXQnT0%3D,,,,,,,,,,,Material Escritorio,,
1282954185,ALMOÇO TIO TOKO PAULO E NICOLAS,16/01/2026,Despesa- Concluida,Consumo Oficina,,,,,,,,,,,1282954185,Tio Toko,"81,8",,https://app.pipefy.com/storage/v1/signed/uploads/77fdd0a7-90bc-48cf-b717-8b3166f1443d/WhatsAppImage2026-01-16at15.21.39.jpeg?expires_on=1772801601&signature=j7Dri60XwJcM%2FGr3%2BF0QvRCTk4P%2FDivj%2BvXwxQ0OLow%3D,,,,,,,,,,,Alimentação,,
1282955336,ALMOÇO TIO TOKO,16/01/2026,Despesa- Concluida,Consumo Oficina,,,,,,,,,,,1282955336,Tio Toko,"111,7",,https://app.pipefy.com/storage/v1/signed/uploads/5522bd3a-3cd0-4443-920b-be9e479291db/WhatsAppImage2026-01-16at15.23.35.jpeg?expires_on=1772801601&signature=ovY4%2BiCHzH5F%2FyVPoQt4ghJJT3WmPEH9tRWXc8TSeug%3D,,"REFEIÇÃO TIO TOKO,  PAULO, IRMÃO DO PAULO E NICOLAS",,,,,,,,,Alimentação,,
1282991577,15L PARA TRATOR LOJA,16/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1282991577,Auto Posto 2001,"86,98",,https://app.pipefy.com/storage/v1/signed/uploads/011c2334-35ae-4693-aedb-79e995ced5f3/92a1baa9.ReqFotoNota.190556.jpg?expires_on=1772801601&signature=Y2amkkZpIK%2BiO%2F6nuWAEoyneUIBnJ5tIHOXkumEcpY4%3D,,,,,,,,,,,Serviço de Terceiro,,
1283001275,SANGRAR BURRINHO DE EMBREAGEM,16/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1283001275,Barrado,70,,https://app.pipefy.com/storage/v1/signed/uploads/bdcd3ba8-7455-4c8a-8b94-41ec02160abc/08b3bd10.ReqFotoNota.121115.jpg?expires_on=1772801601&signature=hrCDNNhxtEX1fRLxCmW9afcR5PRxkh7WKZDqxzCvOmU%3D,,,,,,,,,,,Serviço de Terceiro,,
1283014831,REFEIÇÃO LUIZ FERNANDO,16/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1283014831,Lanchonete caverna,30,,https://app.pipefy.com/storage/v1/signed/uploads/621688b8-7070-4daa-a879-a71a0abdcf73/c9124265.ReqFotoNota.1500281.jpg?expires_on=1772801601&signature=HhW00OUw4avBtJai%2Bq%2BGMwyiA5UmK5I%2FwOYavzhwGSk%3D,,,,,,,,,,,Alimentação,,
1283024271,FUNILARIA DO CAPÔ E PARA LAMAS - TRATOR JUCA VENDIDO PRA GENTE,16/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1283024271,Magic Tintas,"325,19",,https://app.pipefy.com/storage/v1/signed/uploads/503413e0-3e3f-44b0-a269-702afe2e9a8e/60e57b89.ReqFotoNota.191947.jpg?expires_on=1772801601&signature=cMrzJyea%2BPA93Y3EQ5cNUdRxHZV9Qmg2AX0pWB6Anlo%3D,NÃO,,,,,,,,,,Ferramenta,,
1283005178,ABASTECIMENTO FXM4G90,16/01/2026,Despesa- Concluida,Consumo Oficina,FXM4G90,29.193,Gasolina,,,,,,,,1283005178,Auto Posto 2001,"180,7",76434,https://app.pipefy.com/storage/v1/signed/uploads/44ad6d62-3567-4a94-9ebd-4bda576479f4/f2ea313d.ReqFotoNota.140238.jpg?expires_on=1772801601&signature=z4MH%2FALkvBByg9ynoiIt3EyF6qymbPquCIgB7S5u%2Bj8%3D,,,,,FXM4G90,247534,,,,,Veicular,Abastecimento,
1281954015,ABASTECIMENTO FHY8D25,14/01/2026,Despesa- Concluida,Consumo Oficina,FHY8D25,45.005,Gasolina,,,,,,,,1281954015,Auto Posto 2001,"278,58",75779,https://app.pipefy.com/storage/v1/signed/uploads/a9c5a8a2-43b0-4529-94bc-391ea0adfd16/11aa4fa5.ReqFotoNota.122804.jpg?expires_on=1772801601&signature=2qxma14dFYUHj5dJdMSB%2FpMyhcqt%2BKmj5QL2BmCIGHQ%3D,,,,,FHY8D25,162844,,,,,Veicular,Abastecimento,
1281948453,ABASTECIMENTO FXM4G90,14/01/2026,Despesa- Concluida,Consumo Oficina,FXM4G90,26.756,Gasolina,,,,,,,,1281948453,Auto Posto 2001,"215,52",758110,https://app.pipefy.com/storage/v1/signed/uploads/49b6d792-aae5-4b5b-ba78-81bc23d366ff/72db93dd.ReqFotoNota.194507.jpg?expires_on=1772801601&signature=V5QUUG5mG6JT%2FWuaHOxoNmgJqehPtNVD41GpQGPPdXA%3D,,,,,FXM4G90,247243,,,,,Veicular,Abastecimento,
1280496927,ABASTECIMENTO TKY6E68,12/01/2026,Despesa- Concluida,Consumo Oficina,TKY6E68,35,Gasolina,,,,,,,,1280496927,Auto Posto 2001,"223,65",74487,https://app.pipefy.com/storage/v1/signed/uploads/60d71633-d42a-429c-a703-3ef798c2e0a2/44f06efe.ReqFotoNota.162930.jpg?expires_on=1772801601&signature=hKxfTdpH%2B6XQBgGjWx3MyotWHlZwUOhadZJA1uKg4Qg%3D,,,,,TKY6E68,29990,,,,,Veicular,Abastecimento,
1283152661,ALINHAMENTO DIREÇÃO DLZ1967,17/01/2026,Despesa- Concluida,Consumo Oficina,DLZ1967,,,,,,,,,,1283152661,Parada Pneus,70,1462,"https://app.pipefy.com/storage/v1/signed/uploads/f036cb3e-fd07-4255-a824-cb6d88f5e64a/WhatsAppImage2026-01-17at08.51.21.jpeg?expires_on=1772801601&signature=1e7IR15BQeUZQL5VO%2FxROk%2BnCpO7mlMSzI3YKK4OxQs%3D, https://app.pipefy.com/storage/v1/signed/uploads/db52b515-43a1-42fe-802c-b4722cc9da78/WhatsAppImage2026-01-19at15.49.521.jpeg?expires_on=1772801601&signature=vqRVCdbRu%2BUh2A6eAaSV4xUDHxbcMQfe1U7Wgga4PE4%3D",,"VALOR QUE ESTÁ NO BOLETO É DOS DOIS SERVIÇOS QUE FORAM FEITO NOS CARROS
FXM4G90 E DLZ1967",,,DLZ1967,190033,,,,,Veicular,Manutenção,
1283156743,SERVIÇO FXM4G90,17/01/2026,Despesa- Concluida,Consumo Oficina,FXM4G90,,,,,,,,,,1283156743,Parada Pneus,250,1462,"https://app.pipefy.com/storage/v1/signed/uploads/b2ddfcec-cab5-4c91-b2ca-b793558493d8/WhatsAppImage2026-01-17at09.14.27.jpeg?expires_on=1772801601&signature=aijlRHN4SdOG0QxV84fJJKBSK8MiHyZOI8jmq5IRaqM%3D, https://app.pipefy.com/storage/v1/signed/uploads/008b37a8-aa43-4290-bdd6-80764a63cf57/WhatsAppImage2026-01-19at15.49.521.jpeg?expires_on=1772801601&signature=U%2BDsg3INhd7ZuO1DR5vN1UcOQXKYEB76I9aMBr187bI%3D",,"Feito: Balanceamento da roda
Alinhamento direção
Filtro de cabine
Limpeza sistema
Reparo de ar condicionado
VALOR QUE ESTÁ NO BOLETO É DOS DOIS SERVIÇOS QUE FORAM FEITO NOS CARROS
FXM4G90 E DLZ1967",,,FXM4G90,244720,,,,,Veicular,Manutenção,
1283184620,ABASTECIMENTO PARA MOTO,17/01/2026,Despesa- Concluida,Consumo Oficina,,,,,,,,,,,1283184620,Auto Posto 2001,"59,1",77884,https://app.pipefy.com/storage/v1/signed/uploads/33d03619-7c1c-4231-a123-ea9ae6695389/WhatsAppImage2026-01-19at15.02.15.jpeg?expires_on=1772801601&signature=UhpRQMzjlOY4GpXRHTr9rQjZEoFCg0Su1SKiEQDZnz4%3D,,Abastecimento para o Pedro,,,,0,,,,,Veicular,Abastecimento,
1284125319,ABASTECIMENTO TRATOR LOJA,19/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1284125319,Auto Posto 2001,"232,74",,https://app.pipefy.com/storage/v1/signed/uploads/c8d7238a-83b2-49ad-b50f-977a222cb83a/618891bf.ReqFotoNota.194552.jpg?expires_on=1772801601&signature=PG0dSxnNoqp99F5s19JncTYJc7%2BUdB2utUvrPF%2FdAU4%3D,,"Qualidade da foto fraca, não dando para enxergar nota fiscal",,,,,,,,,Serviço de Terceiro,Abastecimento,
1284991867,MANGUEIRA 1 TRAMA 3/8 - H LEMMAN; OLHAL 3/4 X 1/4; CAPA 1 TRAMA 3/8 e MANGUEIRA 1 TRAMA 3/8 - H LEMMAN,21/01/2026,Despesa- Concluida,GARANTIA,,,,,,,,,,,1284991867,Landico,"147,37",DAV 2916,https://app.pipefy.com/storage/v1/signed/uploads/68b6af31-478e-4567-9952-cbf102caa83c/NOTALANDICO.pdf?expires_on=1772801601&signature=hyoRWSMS4wPXHxn1rRNEjtsF90%2F1w%2BQTk92%2BMGwlIlg%3D,,"Requisição feita pelo Pós Vendas
Garantia, fábrica pagou",,,,,,,,,Peça,,
1285248339,MANUTENÇÃO IMPRESSORA ZEZO,21/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1285248339,Leandro Costa Corcovia,90,501,https://app.pipefy.com/storage/v1/signed/uploads/1c91a0b5-971f-432c-8076-15c8ad9c22ed/WhatsAppImage2026-01-21at16.05.09.jpeg?expires_on=1772801601&signature=5WaiT9tltNDapIjXPiW3IdWd9XVXQS7BqHfRWdYUxXc%3D,,,,,,,,,,,Serviço de Terceiro,,
1285261880,DESPESA CAMINHÃO MUCK,21/01/2026,Despesa- Concluida,Comercial,,,,,,,,,,,1285261880,Barrado,"489,39",9804,https://app.pipefy.com/storage/v1/signed/uploads/562daf66-ae26-4883-95e9-31dfe18aa294/DESPESAMUCK.jpeg?expires_on=1772801601&signature=qdlGSXHbrVGa5ihxS1IUUEqoSS0bJWjrkrogf8s5Wuc%3D,,,,,,,,,,,Peça,,
